family,top_k,feature_index,selected_runs,mean_rank,mean_fisher_score,selection_rate
gradient_boosting,100,433,10,70.7,0.2470711395906821,1.0
gradient_boosting,100,441,10,82.6,0.22285399409809353,1.0
gradient_boosting,100,444,10,84.2,0.2170499806544456,1.0
gradient_boosting,100,452,8,89.875,0.21107568448082,0.8
gradient_boosting,100,455,10,91.1,0.20747150812305803,1.0
gradient_boosting,100,466,1,94.0,0.2192210817364879,0.1
gradient_boosting,100,496,1,98.0,0.2649002308689647,0.1
gradient_boosting,100,499,1,100.0,0.26339371857879407,0.1
gradient_boosting,100,685,1,99.0,0.17368010498944203,0.1
gradient_boosting,100,696,3,91.66666666666667,0.19027351873805262,0.3
gradient_boosting,100,738,4,88.75,0.2031585617335996,0.4
gradient_boosting,100,740,5,87.2,0.20541272611037878,0.5
gradient_boosting,100,741,9,85.55555555555556,0.21413232835178422,0.9
gradient_boosting,100,749,9,85.77777777777777,0.2140395785335138,0.9
gradient_boosting,100,751,6,92.0,0.2005618101063419,0.6
gradient_boosting,100,752,10,74.9,0.23734587739418248,1.0
gradient_boosting,100,760,10,81.8,0.22357244206932628,1.0
gradient_boosting,100,762,1,91.0,0.1872883942454502,0.1
gradient_boosting,100,763,10,71.8,0.24313660057641454,1.0
gradient_boosting,100,771,10,64.4,0.26041339458552665,1.0
gradient_boosting,100,773,9,80.22222222222223,0.21667372966794643,0.9
gradient_boosting,100,774,10,57.9,0.27342492981161914,1.0
gradient_boosting,100,782,10,37.6,0.30560485768593487,1.0
gradient_boosting,100,784,8,80.875,0.21661769888349441,0.8
gradient_boosting,100,785,10,28.1,0.3203619361891583,1.0
gradient_boosting,100,787,1,93.0,0.20188699070693525,0.1
gradient_boosting,100,793,10,29.5,0.316682806151639,1.0
gradient_boosting,100,795,8,82.75,0.2145183172282945,0.8
gradient_boosting,100,796,10,19.7,0.33116917458966405,1.0
gradient_boosting,100,804,10,16.5,0.3478834970637393,1.0
gradient_boosting,100,805,1,99.0,0.1808039475375768,0.1
gradient_boosting,100,806,6,89.83333333333333,0.2023078602526972,0.6
gradient_boosting,100,807,10,11.9,0.3564958379620765,1.0
gradient_boosting,100,815,10,13.7,0.36150724787489674,1.0
gradient_boosting,100,816,1,95.0,0.18700215978765658,0.1
gradient_boosting,100,817,7,85.42857142857143,0.21054626494948128,0.7
gradient_boosting,100,818,10,9.4,0.3668193337367763,1.0
gradient_boosting,100,820,2,92.5,0.19581437672274588,0.2
gradient_boosting,100,826,10,5.6,0.3678249633544985,1.0
gradient_boosting,100,827,3,91.66666666666667,0.19496749798681112,0.3
gradient_boosting,100,828,8,78.5,0.21691545071413298,0.8
gradient_boosting,100,829,10,5.3,0.37111892259280505,1.0
gradient_boosting,100,831,7,81.85714285714286,0.2104519068203623,0.7
gradient_boosting,100,834,1,96.0,0.18558434700552237,0.1
gradient_boosting,100,837,10,13.2,0.3445835308528554,1.0
gradient_boosting,100,839,3,78.66666666666667,0.2122086361718497,0.3
gradient_boosting,100,840,10,8.3,0.354942049170775,1.0
gradient_boosting,100,842,2,86.0,0.2026566240245043,0.2
gradient_boosting,100,848,10,31.9,0.31821845717892405,1.0
gradient_boosting,100,850,4,87.0,0.20763898746233506,0.4
gradient_boosting,100,851,10,26.5,0.32821863454985634,1.0
gradient_boosting,100,859,10,34.0,0.3231331698351527,1.0
gradient_boosting,100,861,6,77.83333333333333,0.23544747862541568,0.6
gradient_boosting,100,862,10,27.7,0.3353918606486349,1.0
gradient_boosting,100,864,4,82.25,0.24146268136865076,0.4
gradient_boosting,100,865,2,92.0,0.2417897840655479,0.2
gradient_boosting,100,870,9,45.77777777777778,0.29073610594611576,0.9
gradient_boosting,100,872,5,83.0,0.21235087918046847,0.5
gradient_boosting,100,873,10,40.8,0.29813777032949595,1.0
gradient_boosting,100,881,6,59.166666666666664,0.27606873793717085,0.6
gradient_boosting,100,883,1,95.0,0.1870795581067079,0.1
gradient_boosting,100,884,10,65.4,0.2532572243501988,1.0
gradient_boosting,100,892,5,65.0,0.2767057644434315,0.5
gradient_boosting,100,894,3,91.66666666666667,0.19267531839221996,0.3
gradient_boosting,100,895,10,72.9,0.24417579854439003,1.0
gradient_boosting,100,903,4,68.0,0.26496017914789555,0.4
gradient_boosting,100,905,3,87.33333333333333,0.19766049926080087,0.3
gradient_boosting,100,906,8,74.125,0.24403639203514021,0.8
gradient_boosting,100,914,4,82.5,0.24912365380119292,0.4
gradient_boosting,100,916,2,91.0,0.2021223277021852,0.2
gradient_boosting,100,917,4,68.75,0.2711580364599683,0.4
gradient_boosting,100,925,1,76.0,0.32423541675383577,0.1
gradient_boosting,100,928,3,87.0,0.24519215056948349,0.3
gradient_boosting,100,936,1,70.0,0.3313986281020495,0.1
gradient_boosting,100,939,2,82.0,0.2616501058086978,0.2
gradient_boosting,100,947,1,75.0,0.32636836957475807,0.1
gradient_boosting,100,950,1,67.0,0.33871096607924994,0.1
gradient_boosting,100,958,1,83.0,0.30526801742794296,0.1
