top_k,feature_index,selection_count,selection_rate,mean_rank_when_selected,mean_fisher_score_when_selected
126,200,6,0.6,107.16666666666667,0.05451265729444427
126,170,6,0.6,108.33333333333333,0.04953095554427971
126,220,5,0.5,65.2,0.0813187186311394
126,19,5,0.5,84,0.058759399192541605
126,209,4,0.4,70.5,0.07875567928240762
126,88,4,0.4,81.75,0.07123790735476822
126,77,4,0.4,92.75,0.0644708916301403
126,222,4,0.4,94.25,0.06344251478685069
126,102,4,0.4,95.25,0.05862064230685937
126,211,4,0.4,95.5,0.06300061396817393
126,185,4,0.4,99.25,0.06872241448949007
126,150,4,0.4,111,0.06318911014263007
126,118,4,0.4,112.25,0.05093605557007956
126,161,4,0.4,117.5,0.054789663419714967
126,53,4,0.4,118,0.044016607742233885
126,192,3,0.3,113,0.04187866250311458
126,96,3,0.3,115.33333333333333,0.04503553594414365
126,135,3,0.3,115.66666666666667,0.04208666897918669
126,113,3,0.3,116.33333333333333,0.04801291712577733
126,127,3,0.3,123.66666666666667,0.05174338693618558
126,47,2,0.2,102.5,0.056264615675860934
126,173,2,0.2,103,0.06429292663265374
126,94,2,0.2,113.5,0.03974147351824839
126,184,2,0.2,113.5,0.05844484029346149
126,9,2,0.2,114.5,0.040556660294421454
126,5,2,0.2,115,0.03788307680259667
126,20,2,0.2,116.5,0.04033793297192553
126,71,1,0.1,71,0.06041099343554785
126,145,1,0.1,73,0.07026222797450607
126,137,1,0.1,75,0.06756766705897395
126,143,1,0.1,88,0.06157011859063875
126,44,1,0.1,100,0.055054762635548274
126,146,1,0.1,104,0.05216110351122181
126,46,1,0.1,105,0.05194446455857745
126,95,1,0.1,112,0.0383100606923706
126,158,1,0.1,112,0.06558971799732578
126,155,1,0.1,113,0.06430028180803958
126,132,1,0.1,114,0.046853570419925925
126,141,1,0.1,116,0.0681155984742569
126,124,1,0.1,117,0.04559010201854162
126,138,1,0.1,118,0.06649787078880491
126,134,1,0.1,119,0.04508072291443748
126,97,1,0.1,121,0.033522015583641575
126,2,1,0.1,125,0.05075385269342466
160,199,10,1.0,1.3,0.20782677704827104
160,202,10,1.0,2.9,0.19581478668210853
160,221,10,1.0,5.3,0.17593063688057978
160,188,10,1.0,6.3,0.16968468002223475
160,224,10,1.0,7.4,0.17018232573066167
160,210,10,1.0,9.2,0.16090082446522017
160,205,10,1.0,9.4,0.1621957485764499
160,213,10,1.0,10,0.15986022000500363
160,67,10,1.0,10.2,0.15609643469465176
160,191,10,1.0,11.1,0.15006003139601273
160,56,10,1.0,13.4,0.144909159111539
160,204,10,1.0,13.4,0.14651623508368572
160,70,10,1.0,14.4,0.14546989753188747
160,59,10,1.0,16.2,0.14063830985609313
160,23,10,1.0,17.9,0.1343335617430785
160,227,10,1.0,17.9,0.14019464511689878
160,26,10,1.0,20.7,0.12914978339290575
160,38,10,1.0,23.1,0.12670776321122093
160,194,10,1.0,23.6,0.1227485469512282
160,4,10,1.0,25,0.12259960590342016
160,37,10,1.0,25.3,0.12187109037372937
160,1,10,1.0,26.3,0.12106019399846772
160,34,10,1.0,26.3,0.12125798910368374
160,12,10,1.0,29.3,0.11836290815537957
160,45,10,1.0,31.2,0.1135671614632901
160,207,10,1.0,32.1,0.1105261355195479
160,216,10,1.0,32.1,0.11703214598453208
160,78,10,1.0,32.6,0.11367567698322868
160,226,10,1.0,33,0.11136669876292606
