seed,scenario_id,quadrant,strategy,windows,accuracy,macro_f1,weighted_f1,empty_f1,static_presence_f1,movement_f1,true_state_changes,final_state_changes,extra_state_changes,missing_state_changes,transition_count,transition_success_count,transition_success_rate,transition_delay_mean,confidence_mean,confidence_std,realtime_score
168,seed168_quad1_scenario2,quad1,majority_vote_5,60,0.6833333333333333,0.6977621649752798,0.6706479313036691,0.5714285714285715,0.6885245901639344,0.8333333333333334,4,7,3,0,4,4,1.0,2.5,0.5675238019780322,0.130891783865904,0.6577621649752797
168,seed168_quad1_scenario2,quad1,confidence_hold_055,60,0.8666666666666667,0.8857142857142857,0.8628571428571429,0.8,0.8571428571428571,1.0,4,5,1,0,4,4,1.0,1.25,0.5675238019780322,0.130891783865904,0.8682142857142857
168,seed168_quad1_scenario2,quad1,confidence_hold_065,60,0.6,0.5555555555555555,0.4666666666666667,0.0,0.6666666666666666,1.0,4,2,0,2,4,3,0.75,3.0,0.5675238019780322,0.130891783865904,0.4655555555555555
168,seed168_quad1_scenario2,quad1,confirm2_conf050_override075,60,0.8,0.8225246351183383,0.795725214315919,0.7179487179487181,0.7931034482758621,0.9565217391304348,4,5,1,0,4,4,1.0,2.0,0.5675238019780322,0.130891783865904,0.7975246351183383
168,seed168_quad1_scenario2,quad1,confirm2_conf060_override080,60,0.5833333333333334,0.5380186619019257,0.4543180464562239,0.0,0.6575342465753424,0.9565217391304348,4,2,0,2,4,3,0.75,3.25,0.5675238019780322,0.130891783865904,0.4455186619019257
168,seed168_quad1_scenario2,quad1,confirm3_conf050_override080,60,0.7833333333333333,0.8022335479962598,0.78086207577733,0.7179487179487181,0.7796610169491525,0.9090909090909091,4,5,1,0,4,4,1.0,2.25,0.5675238019780322,0.130891783865904,0.7747335479962598
168,seed168_quad1_scenario2,quad1,vote3_confirm2_conf050,60,0.7833333333333333,0.8021817363922628,0.779284750337382,0.7179487179487181,0.7719298245614035,0.9166666666666666,4,5,1,0,4,4,1.0,2.25,0.5675238019780322,0.130891783865904,0.7746817363922628
168,seed168_quad1_scenario2,quad1,vote3_confirm2_conf060,60,0.5333333333333333,0.48148148148148145,0.4111111111111111,0.0,0.611111111111111,0.8333333333333334,4,2,0,2,4,3,0.75,4.0,0.5675238019780322,0.130891783865904,0.3814814814814814
168,seed168_quad1_scenario2,quad1,movement_priority_confirm,60,0.5833333333333334,0.5380186619019257,0.4543180464562239,0.0,0.6575342465753424,0.9565217391304348,4,2,0,2,4,3,0.75,3.25,0.5675238019780322,0.130891783865904,0.4455186619019257
168,seed168_quad1_scenario3,quad1,raw_prediction,60,0.6333333333333333,0.6521608565086826,0.6260712886799843,0.5405405405405406,0.6333333333333333,0.7826086956521738,4,24,20,0,4,4,1.0,0.5,0.5695621018539067,0.1345529358716794,0.5471608565086826
